# n=1000000000000000000,k=7,i_requested=2,i_effective=2,j=8,reason=cycle
# count_total=2159,count_divisible=1153,count_non_zero=1006
# count_divisible_k2_or_more=147,gamma=0.12749349522983522
# mean_non_zero=3.481113320079523,var_non_zero=2.8699216233414706,std_non_zero=1.694084302312453,skew_non_zero=0.04474332502922145
# shannon_entropy_non_zero=2.582764715641138,Hmax=2.584962500721156,ratio=0.9991497806720968,delta=0.002197785080018111
# cycle_start=1998 cycle_length=161
step,value,remainder,is_divisible_by_k,k_adic_valuation
462,1051004909772073242,0,1,1
463,150143558538867606,6,0,0
464,1351292026849808778,0,1,2
465,193041718121401254,0,1,1
466,27577388303057322,2,0,0
467,248196494727516006,0,1,1
468,35456642103930858,6,0,0
469,319109778935378046,0,1,1
470,45587111276482578,5,0,0
471,410284001488343472,0,1,1
472,58612000212620496,5,0,0
473,527508001913584734,0,1,1
474,75358285987654962,5,0,0
475,678224573888894928,0,1,1
476,96889224841270704,3,0,0
477,872003023571436498,0,1,1
478,124571860510205214,1,0,0
479,1121146744591846980,0,1,1
480,160163820655978140,1,0,0
481,1441474385903803314,0,1,1
482,205924912271971902,2,0,0
483,1853324210447747226,0,1,1
484,264760601492535318,2,0,0
485,2382845413432817970,0,1,1
486,340406487633259710,5,0,0
487,3063658388699337660,0,1,1
488,437665484099905380,4,0,0
489,3938989356899148636,0,1,1
490,562712765271306948,4,0,0
491,5064414887441762748,0,1,1
492,723487841063108964,3,0,0
493,6511390569567980838,0,1,1
494,930198652795425834,2,0,0
495,8371787875158832614,0,1,2
496,1195969696451261802,0,1,1
497,170852813778751686,1,0,0
498,1537675324008765228,0,1,2
499,219667903429823604,0,1,1
500,31381129061403372,6,0,0
501,282430161552630672,0,1,1
502,40347165936090096,6,0,0
503,363124493424811188,0,1,1
504,51874927632115884,2,0,0
505,466874348689043064,0,1,1
506,66696335527006152,2,0,0
507,600267019743055476,0,1,1
508,85752431391865068,5,0,0
509,771771882526785882,0,1,1
510,110253126075255126,5,0,0
511,992278134677296404,0,1,1
512,141754019239613772,5,0,0
513,1275786173156524218,0,1,1
514,182255167593789174,3,0,0
515,1640296508344102728,0,1,1
516,234328072620586104,6,0,0
517,2108952653585275260,0,1,1
518,301278950512182180,6,0,0
519,2711510554609639944,0,1,1
520,387358650658519992,4,0,0
521,3486227855926680144,0,1,1
522,498032550846668592,6,0,0
523,4482292957620017652,0,1,1
524,640327565374288236,4,0,0
525,5762948088368594340,0,1,1
526,823278298338370620,4,0,0
527,7409504685045335796,0,1,1
528,1058500669292190828,4,0,0
529,9526506023629717668,0,1,1
530,1360929431947102524,3,0,0
531,12248364887523922878,0,1,1
532,1749766412503417554,1,0,0
533,15747897712530758040,0,1,1
534,2249699673218679720,3,0,0
535,20247297058968117642,0,1,1
536,2892471008424016806,3,0,0
537,26032239075816151416,0,1,2
538,3718891296545164488,0,1,1
539,531270185220737784,3,0,0
540,4781431666986640218,0,1,1
541,683061666712377174,5,0,0
542,6147555000411394836,0,1,1
543,878222142915913548,4,0,0
544,7903999286243222148,0,1,1
545,1129142755177603164,5,0,0
546,10162284796598428746,0,1,2
547,1451754970942632678,0,1,1
548,207393567277518954,3,0,0
549,1866542105497670748,0,1,1
550,266648872213952964,1,0,0
551,2399839849925576730,0,1,1
552,342834264275082390,6,0,0
553,3085508378475741834,0,1,1
554,440786911210820262,4,0,0
555,3967082200897382574,0,1,2
556,566726028699626082,0,1,1
557,80960861242803726,2,0,0
558,728647751185233642,0,1,1
559,104092535883604806,6,0,0
560,936832822952443578,0,1,1
561,133833260421777654,3,0,0
562,1204499343795999048,0,1,1
563,172071334827999864,5,0,0
564,1548642013451999046,0,1,1
565,221234573350285578,6,0,0
566,1991111160152570526,0,1,1
567,284444451450367218,3,0,0
568,2560000063053305124,0,1,1
569,365714294721900732,6,0,0
570,3291428652497106912,0,1,2
571,470204093213872416,0,1,1
572,67172013316267488,6,0,0
573,604548119846407716,0,1,1
574,86364017120915388,1,0,0
575,777276154088238546,0,1,1
576,111039450584034078,1,0,0
577,999355055256306756,0,1,1
578,142765007893758108,5,0,0
579,1284885071043823242,0,1,1
580,183555010149117606,6,0,0
581,1651995091342058778,0,1,1
582,235999298763151254,2,0,0
583,2123993688868361394,0,1,1
584,303427669838337342,4,0,0
585,2730849028545036294,0,1,1
586,390121289792148042,2,0,0
587,3511091608129332486,0,1,1
588,501584515447047498,4,0,0
589,4514260639023427698,0,1,1
590,644894377003346814,1,0,0
591,5804049393030121380,0,1,2
592,829149913290017340,0,1,1
593,118449987612859620,4,0,0
594,1066049888515736796,0,1,1
595,152292841216533828,6,0,0
596,1370635570948804776,0,1,1
597,195805081564114968,1,0,0
598,1762245734077034766,0,1,1
599,251749390582433538,4,0,0
600,2265744515241902058,0,1,1
601,323677787891700294,3,0,0
602,2913100091025302808,0,1,1
603,416157155860757544,2,0,0
604,3745414402746818004,0,1,1
605,535059200392402572,5,0,0
606,4815532803531623418,0,1,3
607,687933257647374774,0,1,2
608,98276179663910682,0,1,1
609,14039454237701526,4,0,0
610,126355088139313950,0,1,1
611,18050726877044850,2,0,0
612,162456541893403758,0,1,1
613,23208077413343394,5,0,0
614,208872696720090816,0,1,2
615,29838956674298688,0,1,1
616,4262708096328384,3,0,0
617,38364372866955618,0,1,1
618,5480624695279374,4,0,0
619,49325622257514582,0,1,1
620,7046517465359226,1,0,0
621,63418657188233088,0,1,1
622,9059808169747584,4,0,0
623,81538273527728472,0,1,1
624,11648324789675496,6,0,0
625,104834923107079788,0,1,1
626,14976417586725684,5,0,0
627,134787758280531426,0,1,1
628,19255394040075918,4,0,0
629,173298546360683478,0,1,1
630,24756935194383354,4,0,0
631,222812416749450402,0,1,1
632,31830345249921486,2,0,0
633,286473107249293482,0,1,1
634,40924729607041926,2,0,0
635,368322566463377442,0,1,1
636,52617509494768206,2,0,0
637,473557585452913962,0,1,1
638,67651083636130566,5,0,0
639,608859752725175364,0,1,1
640,86979964675025052,1,0,0
641,782819682075225522,0,1,1
642,111831383153603646,1,0,0
643,1006482448382432868,0,1,2
644,143783206911776124,0,1,1
645,20540458130253732,6,0,0
646,184864123172283912,0,1,1
647,26409160453183416,6,0,0
648,237682444078651068,0,1,1
649,33954634868378724,3,0,0
650,305591713815408678,0,1,1
651,43655959116486954,6,0,0
652,392903632048382910,0,1,1
653,56129090292626130,3,0,0
654,505161812633635332,0,1,1
655,72165973233376476,6,0,0
656,649493759100388608,0,1,1
657,92784822728626944,6,0,0
658,835063404557642820,0,1,1
659,119294772079663260,3,0,0
660,1073652948716969502,0,1,1
661,153378992673852786,1,0,0
662,1380410934064675128,0,1,1
663,197201562009239304,6,0,0
664,1774814058083154060,0,1,1
665,253544865440450580,3,0,0
666,2281903788964055382,0,1,1
667,325986255566293626,3,0,0
668,2933876300096642796,0,1,1
669,419125185728091828,6,0,0
670,3772126671552826776,0,1,1
671,538875238793260968,4,0,0
672,4849877149139348928,0,1,1
673,692839592734192704,3,0,0
674,6235556334607734498,0,1,1
675,890793762086819214,1,0,0
676,8017143858781372980,0,1,1
677,1145306265540196140,3,0,0
678,10307756389861765422,0,1,1
679,1472536627123109346,1,0,0
680,13252829644107984168,0,1,1
681,1893261377729712024,6,0,0
682,17039352399567408540,0,1,1
683,2434193199938201220,1,0,0
684,21907738799443811034,0,1,1
685,3129676971349115862,3,0,0
686,28167092742142042920,0,1,1
687,4023870391734577560,1,0,0
688,36214833525611198094,0,1,1
689,5173547646515885442,1,0,0
690,46561928818642969032,0,1,1
691,6651704116948995576,3,0,0
692,59865337052540960346,0,1,1
693,8552191007505851478,3,0,0
694,76969719067552663464,0,1,1
695,10995674152507523352,6,0,0
696,98961067372567710492,0,1,1
697,14137295338938244356,2,0,0
698,127235658050444199312,0,1,1
699,18176522578634885616,4,0,0
700,163588703207713970760,0,1,1
701,23369814743959138680,1,0,0
702,210328332695632248174,0,1,1
703,30046904670804606882,3,0,0
704,270422142037241462100,0,1,1
705,38631734576748780300,1,0,0
706,347685611190739022754,0,1,1
707,49669373027248431822,1,0,0
708,447024357245235886452,0,1,1
709,63860622463605126636,1,0,0
710,574745602172446139778,0,1,1
711,82106514596063734254,2,0,0
712,738958631364573608394,0,1,1
713,105565518766367658342,1,0,0
714,950089668897308925132,0,1,1
715,135727095556758417876,3,0,0
716,1221543860010825761046,0,1,1
717,174506265715832251578,6,0,0
718,1570556391442490264526,0,1,1
719,224365198777498609218,3,0,0
720,2019286788997487483124,0,1,1
721,288469541285355354732,3,0,0
722,2596225871568198192750,0,1,1
723,370889410224028313250,3,0,0
724,3338004692016254819412,0,1,1
725,476857813145179259916,3,0,0
726,4291720318306613339406,0,1,2
727,613102902615230477058,0,1,1
728,87586128945032925294,3,0,0
729,788275160505296327808,0,1,1
730,112610737215042332544,5,0,0
731,1013496634935380993166,0,1,1
732,144785233562197284738,3,0,0
733,1303067102059775562804,0,1,1
734,186152443151396508972,3,0,0
735,1675371988362568580910,0,1,2
736,239338855480366940130,0,1,1
737,34191265068623848590,6,0,0
738,307721385617614637634,0,1,1
739,43960197945373519662,6,0,0
740,395641781508361677282,0,1,1
741,56520254501194525326,5,0,0
742,508682290510750728204,0,1,1
743,72668898644392961172,3,0,0
744,654020087799536650710,0,1,3
745,93431441114219521530,0,1,2
746,13347348730602788790,0,1,1
